X_Coord,X_WellPosition,Y_Coord,Y_WellPosition,Z_Coord,Z_WellPosition
49,,0,,0,A1
48,B1,1,B1,0,C4
47,C1,2,C1,0,D6
46,D1,3,D1,0,F6
45,A2,4,A2,,
44,B2,5,B2,,
43,C2,6,C2,,
42,D2,7,D2,,
41,A3,8,A3,,
40,B3,9,B3,,
39,C3,10,C3,,
38,D3,11,D3,,
37,A4,12,A4,,
36,B4,13,B4,,
35,C4,14,C4,,
34,D4,15,D4,,
33,B5,16,B5,,
32,C5,17,C5,,
31,D5,18,D5,,
30,B6,19,B6,,
29,C6,20,C6,,
28,D6,21,D6,,
27,B7,22,B7,,
26,C7,23,C7,,
25,D7,24,D7,,
24,E7,25,E7,,
23,F7,26,F7,,
22,G7,27,G7,,
21,E6,28,E6,,
20,F6,29,F6,,
19,G6,30,G6,,
18,E5,31,E5,,
17,F5,32,F5,,
16,G5,33,G5,,
15,E4,34,E4,,
14,F4,35,F4,,
13,G4,36,G4,,
12,H4,37,H4,,
11,E3,38,E3,,
10,F3,39,F3,,
9,G3,40,G3,,
8,H3,41,H3,,
7,E2,42,E2,,
6,F2,43,F2,,
5,G2,44,G2,,
4,H2,45,H2,,
3,E1,46,E1,,
2,F1,47,F1,,
1,G1,48,G1,,
0,,49,,,
