X_Coord,X_WellPosition,Y_Coord,Y_WellPosition,Z_Coord,Z_WellPosition
37,,37,,0,C1
36,B1,36,B1,0,F1
35,C1,35,C1,0,B6
34,D1,34,D1,0,G6
33,A2,33,A2,,
32,B2,32,B2,,
31,C2,31,C2,,
30,D2,30,D2,,
29,A3,29,A3,,
28,B3,28,B3,,
27,C3,27,C3,,
26,D3,26,D3,,
25,A4,25,A4,,
24,B4,24,B4,,
23,C4,23,C4,,
22,D4,22,D4,,
21,B5,21,B5,,
20,C5,20,C5,,
19,D5,19,D5,,
18,E5,18,E5,,
17,F5,17,F5,,
16,G5,16,G5,,
15,E4,15,E4,,
14,F4,14,F4,,
13,G4,13,G4,,
12,H4,12,H4,,
11,E3,11,E3,,
10,F3,10,F3,,
9,G3,9,G3,,
8,H3,8,H3,,
7,E2,7,E2,,
6,F2,6,F2,,
5,G2,5,G2,,
4,H2,4,H2,,
3,E1,3,E1,,
2,F1,2,F1,,
1,G1,1,G1,,
0,,0,,,
