X_Coord,X_WellPosition,Y_Coord,Y_WellPosition,Z_Coord,Z_WellPosition
37,,37,,5,C1
36,B3,36,B1,5,F1
35,C3,35,C1,5,B6
34,D3,34,D1,5,G6
33,A4,33,A2,,
32,B4,32,B2,,
31,C4,31,C2,,
30,D4,30,D2,,
29,A5,29,A3,,
28,B5,28,B3,,
27,C5,27,C3,,
26,D5,26,D3,,
25,A6,25,A4,,
24,B6,24,B4,,
23,C6,23,C4,,
22,D6,22,D4,,
21,B7,21,B5,,
20,C7,20,C5,,
19,D7,19,D5,,
18,E7,18,E5,,
17,F7,17,F5,,
16,G7,16,G5,,
15,E6,15,E4,,
14,F6,14,F4,,
13,G6,13,G4,,
12,H6,12,H4,,
11,E5,11,E3,,
10,F5,10,F3,,
9,G5,9,G3,,
8,H5,8,H3,,
7,E4,7,E2,,
6,F4,6,F2,,
5,G4,5,G2,,
4,H4,4,H2,,
3,E3,3,E1,,
2,F3,2,F1,,
1,G3,1,G1,,
0,,0,,,
