X_Coord,X_WellPosition,Y_Coord,Y_WellPosition,Z_Coord,Z_WellPosition
0,,0,,7,A3
1,B3,1,B1,7,A4
2,C3,2,C1,7,B5
3,D3,3,D1,7,C6
4,A4,4,A2,,
5,B4,5,B2,,
6,C4,6,C2,,
7,D4,7,D2,,
8,A5,8,A3,,
9,B5,9,B3,,
10,C5,10,C3,,
11,D5,11,D3,,
12,A6,12,A4,,
13,B6,13,B4,,
14,C6,14,C4,,
15,D6,15,D4,,
16,B7,16,B5,,
17,C7,17,C5,,
18,D7,18,D5,,
19,E7,19,E5,,
20,F7,20,F5,,
21,G7,21,G5,,
22,E6,22,E4,,
23,F6,23,F4,,
24,G6,24,G4,,
25,H6,25,H4,,
26,E5,26,E3,,
27,F5,27,F3,,
28,G5,28,G3,,
29,H5,29,H3,,
30,E4,30,E2,,
31,F4,31,F2,,
32,G4,32,G2,,
33,H4,33,H2,,
34,E3,34,E1,,
35,F3,35,F1,,
36,G3,36,G1,,
37,,37,,,
