X_Coord ,X_WellPosition ,Y_Coord ,Y_WellPosition ,Z_Coord ,Z_WellPosition
37      ,               ,0       ,               ,0       ,A1
36      ,B1             ,1       ,B1             ,0       ,C4
35      ,C1             ,2       ,C1             ,0       ,D6
34      ,D1             ,3       ,D1             ,0       ,F6
33      ,A2             ,4       ,A2             ,        ,
32      ,B2             ,5       ,B2             ,        ,
31      ,C2             ,6       ,C2             ,        ,
30      ,D2             ,7       ,D2             ,        ,
29      ,A3             ,8       ,A3             ,        ,
28      ,B3             ,9       ,B3             ,        ,
27      ,C3             ,10      ,C3             ,        ,
26      ,D3             ,11      ,D3             ,        ,
25      ,A4             ,12      ,A4             ,        ,
24      ,B4             ,13      ,B4             ,        ,
23      ,C4             ,14      ,C4             ,        ,
22      ,D4             ,15      ,D4             ,        ,
21      ,B5             ,16      ,B5             ,        ,
20      ,C5             ,17      ,C5             ,        ,
19      ,D5             ,18      ,D5             ,        ,
18      ,E5             ,19      ,E5             ,        ,
17      ,F5             ,20      ,F5             ,        ,
16      ,G5             ,21      ,G5             ,        ,
15      ,E4             ,22      ,E4             ,        ,
14      ,F4             ,23      ,F4             ,        ,
13      ,G4             ,24      ,G4             ,        ,
12      ,H4             ,25      ,H4             ,        ,
11      ,E3             ,26      ,E3             ,        ,
10      ,F3             ,27      ,F3             ,        ,
9       ,G3             ,28      ,G3             ,        ,
8       ,H3             ,29      ,H3             ,        ,
7       ,E2             ,30      ,E2             ,        ,
6       ,F2             ,31      ,F2             ,        ,
5       ,G2             ,32      ,G2             ,        ,
4       ,H2             ,33      ,H2             ,        ,
3       ,E1             ,34      ,E1             ,        ,
2       ,F1             ,35      ,F1             ,        ,
1       ,G1             ,36      ,G1             ,        ,
0       ,               ,37      ,               ,        ,
