HOMERID	UNIGENEID	GENENAME
HM05218	Hs.100043	CCDC124
HM03630	Hs.100217	FMNL1
HM01118	Hs.100322	CA6
HM03583	Hs.100431	CXCL13
HM02455	Hs.10056	SIAE
HM03830	Hs.100686	AGR3
HM06608	Hs.101174	MAPT
HM00387	Hs.1012	C4BPA
HM05833	Hs.101248	
HM06609	Hs.101337	UCP3
HM05340	Hs.101674	ARSF
HM02755	Hs.101745	SLITRK3
HM06610	Hs.1019	PTH1R
HM00945	Hs.101915	ELOVL4
HM03654	Hs.101937	SIX2
HM04873	Hs.102307	SLC13A2
HM02655	Hs.102471	PHACTR2
HM05161	Hs.1027	RRAD
HM00264	Hs.102866	TKTL1
HM02885	Hs.10306	NKG7
HM00939	Hs.103159	
HM03123	Hs.103253	PLIN1
HM06611	Hs.103291	NRN1
HM06612	Hs.103502	GPT
HM06613	Hs.104	HGFAC
HM05866	Hs.104019	TACC3
HM01224	Hs.104215	GDEP
HM01621	Hs.104305	LOC728392
HM05458	Hs.104519	PLD2
HM03484	Hs.104555	NPFF
HM06614	Hs.104624	AQP9
HM03430	Hs.104636	TULP2
HM02210	Hs.104637	SLC1A7
HM02577	Hs.104741	PBK
HM06073	Hs.104744	MEX3B
HM05711	Hs.1048	KITLG
HM04923	Hs.104865	SRPK3
HM06615	Hs.104894	ELSPBP1
HM05234	Hs.104980	DHTKD1
HM05725	Hs.1051	GZMB
HM06616	Hs.105324	FTMT
HM03710	Hs.105399	RAD54L2
HM03481	Hs.105806	GNLY
HM01100	Hs.105887	ZG16B
HM05492	Hs.105956	A4GALT
HM00865	Hs.106070	CDKN1C
HM01639	Hs.106137	NOTUM
HM05736	Hs.106234	C21orf130
HM06617	Hs.106242	CYP4F3
HM05828	Hs.10649	C1orf38
HM01991	Hs.10688	UBQLNL
HM01025	Hs.106880	BYSL
HM03517	Hs.106909	ANAPC13
HM05316	Hs.107003	CCNB1IP1
HM06572	Hs.107125	PLVAP
HM06329	Hs.107382	DHX37
HM00001	Hs.1074	SFTPC
HM06618	Hs.107527	C4orf19
HM00826	Hs.1076	SPRR1B
HM06619	Hs.10784	FAM46A
HM02040	Hs.107911	ABCB6
HM05066	Hs.107922	FAM178B
HM05976	Hs.107944	ALS2CR12
HM00976	Hs.108080	CSRP1
HM05221	Hs.108106	UHRF1
HM01932	Hs.108268	SLC25A47
HM05359	Hs.108301	NR2C1
HM05286	Hs.10842	RAN
HM04091	Hs.10848	BMS1
HM04018	Hs.108530	TMEM30A
HM02422	Hs.10862	AK4
HM05463	Hs.108957	RPS27L
HM05738	Hs.108969	C19orf56
HM04795	Hs.108973	DPM2
HM03802	Hs.109	DPEP1
HM05485	Hs.10903	GPATCH3
HM04267	Hs.109087	CYP2U1
HM02053	Hs.109225	VCAM1
HM01087	Hs.109439	OGN
HM02305	Hs.109731	GLG1
HM05225	Hs.109752	C6orf108
HM04041	Hs.109778	WDR48
HM03885	Hs.11	CEACAM3
HM01053	Hs.110014	GIF
HM05312	Hs.110488	CHSY1
HM00328	Hs.110571	GADD45B
HM01591	Hs.110637	HOXA10
HM06620	Hs.110675	APOC1
HM04992	Hs.110695	SF3B5
HM05747	Hs.110702	MMGT1
HM04932	Hs.110757	RRP1
HM00002	Hs.110837	TUBB4
HM05771	Hs.111227	ZIC3
HM01891	Hs.111256	ALOX15B
HM02972	Hs.111377	P2RY8
HM03370	Hs.111577	ITM2C
HM05811	Hs.111591	ZDHHC19
HM00706	Hs.111779	SPARC
HM02382	Hs.111850	SMCP
HM00381	Hs.111903	FCGRT
HM01692	Hs.111944	CYP3A7
HM01109	Hs.112218	GPR35
HM04652	Hs.112318	TOMM7
HM01545	Hs.112341	PI3
HM01104	Hs.112405	S100A9
HM03004	Hs.112408	S100A7
HM04304	Hs.112651	LOC148145
HM01200	Hs.112667	DNAI1
HM03384	Hs.112680	
HM00422	Hs.112743	SYCP1
HM02687	Hs.112761	RNASE11
HM03188	Hs.112794	C20orf79
HM00388	Hs.112916	SLC3A1
HM02339	Hs.112924	
HM02134	Hs.112930	C12orf50
HM05448	Hs.113170	
HM03757	Hs.113291	MAGEB4
HM05262	Hs.113314	C22orf36
HM04849	Hs.113684	CDH12
HM05427	Hs.113824	MAGEB2
HM00668	Hs.113874	OMG
HM00866	Hs.113876	WHSC1
HM01348	Hs.113882	GABRD
HM02021	Hs.113916	CXCR5
HM00839	Hs.11417	RABAC1
HM01090	Hs.114172	BHMT2
HM06621	Hs.1144	GP9
HM05182	Hs.11463	
HM06622	Hs.114948	CRLF1
HM05894	Hs.115232	SF3A2
HM06496	Hs.115263	EREG
HM05935	Hs.115284	ZNF213
HM00219	Hs.1154	OVGP1
HM03636	Hs.115429	RIMBP3
HM00349	Hs.115460	CCIN
HM02213	Hs.115838	TMC5
HM05876	Hs.115896	PLBD2
HM06071	Hs.11594	PATL2
HM02399	Hs.116128	WFDC8
HM03525	Hs.116147	ADAM7
HM03893	Hs.11615	STYXL1
HM04655	Hs.116176	
HM03657	Hs.116237	VAV1
HM06295	Hs.116240	TMEM67
HM02590	Hs.116250	GABRA2
HM02591	Hs.116287	LOC348120
HM04656	Hs.116303	DNAJC5G
HM04255	Hs.116324	
HM02114	Hs.116428	SCGN
HM04810	Hs.116462	HNF4A
HM01727	Hs.116467	PRAC
HM05585	Hs.116471	CDH11
HM01775	Hs.116827	C1orf95
HM04890	Hs.116864	
HM05156	Hs.116877	C3orf63
HM06573	Hs.117050	OTC
HM05968	Hs.117060	ECM2
HM05779	Hs.11713	ELF5
HM02618	Hs.117167	SLC46A3
HM00925	Hs.11729	SLC27A2
HM01859	Hs.117367	SLC22A1
HM05095	Hs.117545	PDE4D
HM06623	Hs.1176	SLC4A3
HM02661	Hs.117694	CABP5
HM02494	Hs.117853	LOC146880
HM01203	Hs.117929	LOC401397
HM00003	Hs.117938	COL17A1
HM04605	Hs.117961	
HM00451	Hs.118118	TSPAN5
HM00248	Hs.118127	ACTC1
HM00914	Hs.118161	C10orf11
HM06367	Hs.118166	DENND5B
HM02220	Hs.118183	
HM03872	Hs.118205	LOC144486
HM00912	Hs.1183	DUSP2
HM05923	Hs.118354	PRR3
HM06624	Hs.118513	MRGPRF
HM05325	Hs.118552	TMEM132A
HM03732	Hs.118555	FSCN2
HM01816	Hs.118620	SERPINA10
HM02553	Hs.118727	HES2
HM06625	Hs.118845	TNNC1
HM04180	Hs.118958	STX11
HM01282	Hs.118983	GSDMD
HM03424	Hs.11916	RBKS
HM02400	Hs.119207	LOC283079
HM04576	Hs.119298	FLJ37453
HM04913	Hs.119591	AP2S1
HM00717	Hs.119598	RPL3
HM00661	Hs.119689	CGA
HM01980	Hs.119825	SPTA1
HM05580	Hs.119882	CDK6
HM02945	Hs.119897	LRRC27
HM01226	Hs.120021	RGS22
HM06520	Hs.120094	RELL2
HM04947	Hs.12013	ABCE1
HM02003	Hs.120228	MLL2
HM03350	Hs.120260	FCRL4
HM01279	Hs.120267	TSGA10
HM00739	Hs.120316	C4orf35
HM00530	Hs.120319	NT5C1B
HM03492	Hs.120359	ARMS2
HM04466	Hs.120364	NCRNA00295
HM06031	Hs.120365	PRSS50
HM04305	Hs.120391	HORMAD2
HM01633	Hs.120551	TLR10
HM02357	Hs.12056	ASGR1
HM05250	Hs.120591	BEND4
HM01760	Hs.120633	
HM04437	Hs.12068	CRAT
HM02738	Hs.120725	CACNB4
HM00004	Hs.120759	APOB
HM00410	Hs.120831	C16orf82
HM06574	Hs.120855	THSD7A
HM02379	Hs.120949	CD36
HM02866	Hs.121021	SPATA3
HM04918	Hs.121028	ASPM
HM02195	Hs.121072	CCDC87
HM01650	Hs.121084	SPINLW1
HM06626	Hs.1211	ACP5
