Gene HMID	organ	pvalue	zscore	source
HM05218	salivary gland	3.92E-11	6.53	dbEST
HM03630	bone marrow	1.32E-17	4.44	dbEST
HM01118	salivary gland	4.76E-61	7.07	dbEST
HM03583	pharynx	7.73E-18	6.45	dbEST
HM03583	prostate	0.94		TiSGeD
HM02455	parathyroid gland	1.22E-26	6.45	dbEST
HM03830	breast	1.59E-16	5.23	dbEST
HM06608	brain	0.94		TiSGeD
HM00387	liver	0	6.05	dbEST
HM00387	liver	0.98		TiSGeD
HM05833	brain	5.53E-09	7.07	dbEST
HM06609	ovary	1		TiSGeD
HM05340	kidney	1.04E-10	6.86	dbEST
HM02755	brain	1.11E-23	5.26	dbEST
HM02755	placenta	1		TiSGeD
HM06610	kidney	0.97		TiSGeD
HM00945	thymus	5.36E-72	6.89	dbEST
HM03654	cervix	1.66E-17	6.98	dbEST
HM04873	small intestine	2.61E-12	4.94	dbEST
HM02655	placenta	1.90E-24	4.56	dbEST
HM05161	larynx	2.49E-11	5.56	dbEST
HM00264	testis	0	7.04	dbEST
HM02885	blood	1.02E-22	5.4	dbEST
HM00939	blood vessel	2.58E-72	7.06	dbEST
HM03123	adipose	7.57E-21	7.04	dbEST
HM06611	brain	0.94		TiSGeD
HM06612	liver	0.96		TiSGeD
HM06613	liver	0.96		TiSGeD
HM05866	lymph	7.57E-09	4.3	dbEST
HM01224	prostate	3.18E-56	6.67	dbEST
HM01621	pituitary	1.06E-41	7	dbEST
HM05458	umbilical cord	2.94E-10	5.71	dbEST
HM03484	pancreas	1.80E-18	6	dbEST
HM06614	liver	0.91		TiSGeD
HM03430	testis	7.88E-19	6.99	dbEST
HM03430	testis	0.94		TiSGeD
HM02210	eye	6.97E-30	4.18	dbEST
HM02577	testis	3.90E-25	4.24	dbEST
HM06073	testis	4.66E-08	4.48	dbEST
HM05711	trachea	2.27E-09	5.21	dbEST
HM04923	muscle	3.39E-12	5.18	dbEST
HM06615	testis	0.92		TiSGeD
HM05234	mouth	4.66E-11	4.14	dbEST
HM05725	blood	2.47E-09	5.3	dbEST
HM06616	testis	0.9		TiSGeD
HM03710	umbilical cord	3.63E-17	6.98	dbEST
HM03481	spleen	1.75E-18	4.51	dbEST
HM01100	salivary gland	3.70E-62	6.95	dbEST
HM05492	lymph	3.92E-10	5.26	dbEST
HM00865	placenta	9.55E-79	4.4	dbEST
HM00865	placenta	0.95		TiSGeD
HM01639	placenta	2.56E-41	6.83	dbEST
HM05736	brain	2.60E-09	5.54	dbEST
HM06617	lung	0.93		TiSGeD
HM05828	bone marrow	5.16E-09	4.74	dbEST
HM01991	testis	1.43E-33	6.97	dbEST
HM01025	salivary gland	5.09E-67	6.97	dbEST
HM03517	bladder	2.94E-18	4.44	dbEST
HM05316	nerve	8.63E-11	4.27	dbEST
HM06572	salivary gland			HPA
HM06329	lymph	4.43E-07	5.5	dbEST
HM00001	lung	0	7.05	dbEST
HM00001	lung	0.99		TiSGeD
HM06618	placenta	0.94		TiSGeD
HM00826	pharynx	1.69E-82	5.96	dbEST
HM06619	placenta	0.94		TiSGeD
HM02040	ovary	9.79E-33	5.54	dbEST
HM05066	spleen	1.15E-11	6.15	dbEST
HM05976	spleen	1.89E-08	5.27	dbEST
HM00976	rectum	4.50E-70	5.83	dbEST
HM05221	thymus	4.15E-11	5.16	dbEST
HM01932	liver	1.77E-34	6.14	dbEST
HM05359	thymus	1.29E-10	4.9	dbEST
HM05286	tonsil	7.02E-11	4.38	dbEST
HM04091	muscle	2.49E-15	4.71	dbEST
HM04018	trachea	1.12E-15	4.44	dbEST
HM02422	kidney	6.14E-27	4.13	dbEST
HM02422	kidney	0.93		TiSGeD
HM05463	parathyroid gland	3.02E-10	4.5	dbEST
HM05738	parathyroid gland	2.62E-09	5.12	dbEST
HM04795	spleen	1.46E-12	4.04	dbEST
HM03802	colon	9.84E-17	5.22	dbEST
HM03802	colon	0.96		TiSGeD
HM05485	thymus	3.71E-10	4.38	dbEST
HM04267	thymus	1.37E-14	5.23	dbEST
HM02053	bone	1.58E-32	4.57	dbEST
HM01087	ear	1.60E-62	6.78	dbEST
HM01087	uterus	0.91		TiSGeD
HM02305	nerve	1.49E-28	5.06	dbEST
HM05225	parathyroid gland	4.40E-11	6.39	dbEST
HM04041	trachea	1.52E-15	4.87	dbEST
HM03885	bone marrow	3.40E-16	6.91	dbEST
HM01053	stomach	2.83E-65	6.93	dbEST
HM01053	pancreas	0.99		TiSGeD
HM05312	mouth	8.50E-11	4.99	dbEST
HM00328	stomach	0	5.45	dbEST
HM01591	uterus	1.81E-42	4.4	dbEST
HM06620	liver	0.97		TiSGeD
HM04992	parathyroid gland	5.76E-12	5.57	dbEST
HM05747	trachea	2.82E-09	5.17	dbEST
HM04932	nerve	3.65E-12	5	dbEST
HM00002	adrenal gland	2.67E-61	4.96	dbEST
HM00002	brain	0	4.83	dbEST
HM05771	embryo	3.54E-09	5.44	dbEST
HM01891	prostate	3.08E-35	5.86	dbEST
HM01891	prostate	0.98		TiSGeD
HM02972	lymph node	5.75E-22	4.26	dbEST
HM02972	lymph	2.11E-13	4.37	dbEST
HM03370	rectum	3.38E-19	6.6	dbEST
HM05811	testis	4.67E-09	5.9	dbEST
